Score,Rating,Title,Price,Median_Comp,Discount_%,Seller_Feedback,Sales_Count,Age_Days,Red_Flags,URL
8.7,GREAT DEAL,"🔥 2019-20 Panini Prizm #75  LUKA DONCIC  Dallas 2ND YEAR  PSA 10 GEM MINT  🔥",33.98,236.1,86,99.1,10704,N/A,"",https://www.ebay.com/itm/125137344268?_skw=luka+doncic+prizm&hash=item1d22c4570c:g:EU0AAOSwdh1iAV1w
8.5,GREAT DEAL,"LUKA DONCIC COLORFUL PRIZM INSERT CARD WITH CASE NBA DALLAS MAVERICKS",29.99,208.03,86,100.0,10623,N/A,"",https://www.ebay.com/itm/235512494714?_skw=luka+doncic+prizm&hash=item36d5a37a7a:g:~tMAAOSw575mDHyL&amdata=enc%3AAQALAAAA8DZq0hFgvSYlgrFkWCFZ3z2vCG6Yh%2BjU43agmwudYWQ5EXZ%2FUBQ4omIiiSgecyjVnOjNcwafVRZ3GyNd3jpQE7KMOlset07Z7CGg5dpISsysXV%2Bn9X%2FzCblnjjp80n3SYqCnmLM11BSEUoItB1Q6LLdF1Zpbc3bUW%2BzpQTQh6FtVnvF3OiLLjXcOv8B1sAjQ0Sf3yDLmn%2Frtx4XufIwpXIcRQ3%2FN7mtSMTyJloS4i6WTXh7LyV52JMhconXd%2FSHUvdmfM8h8st7nnshn43u40CquXz8CrMo%2FtZq7m6JnCLjEATF955OzVUrGXX4%2BNTZXBw%3D%3D
8.5,GREAT DEAL,"2019-20 Hoops Premium Stock #39 Luka Doncic Prizms Silver",2.4,42.48,94,100.0,2224,N/A,"",https://www.ebay.com/itm/287116968226?_skw=luka+doncic+prizm&hash=item42d9814122:g:muYAAeSwtI9pgMEQ
8.5,GREAT DEAL,"2021-22 Panini Prizm Basketball - RC - Prizms - Base Vets - Inserts - PYC",6.6,123.25,95,100.0,6824,N/A,"",https://www.ebay.com/itm/155102041387?_skw=luka+doncic+prizm&hash=item241ccd552b:g:NBwAAOSwprNi6Zq0
8.5,GREAT DEAL,"Luka DONCIC * Short Print Novelty AUTO* Dallas Mavericks * FREE Shipping!",2.99,131.74,98,100.0,3817,N/A,"",https://www.ebay.com/itm/363843736935?_skw=luka+doncic+prizm&hash=item54b6c6d567:g:yVoAAOSw72VjOTtL
8.5,GREAT DEAL,"LUKA DONCIC Cards **YOU PICK** Base, Parallels, & Inserts",1.5,131.74,99,100.0,1891,N/A,"",https://www.ebay.com/itm/127638024579?_skw=luka+doncic+prizm&hash=item1db7d1b183:g:cOYAAeSw5uhpcRDj
8.5,GREAT DEAL,"2019-20 Panini Prizm #32 Luka Doncic Dallas Mavericks",1.99,114.75,98,100.0,13629,N/A,"",https://www.ebay.com/itm/177756683522?_skw=luka+doncic+prizm&hash=item29631fbd02:g:9g0AAeSwGTlpHQuR
8.5,GREAT DEAL,"2019-20 Panini Prizm Pink Ice Prizm Luka Doncic Luka Dončić #75 1oz2",19.91,236.1,92,99.6,1300345,N/A,"",https://www.ebay.com/itm/336415000752?_skw=luka+doncic+prizm&hash=item4e53e588b0:g:zBMAAeSwnBxpfkIC
8.5,GREAT DEAL,"2019-20 Panini Prizm #75 Luka Doncic",5.5,236.1,98,100.0,9667,N/A,"",https://www.ebay.com/itm/305619549921?_skw=luka+doncic+prizm&hash=item4728583ee1:g:jN4AAOSw9whmbFfc
8.5,GREAT DEAL,"2019-20 Panini Prizm - Luka Dončić Silver Prizm Dallas Mavericks #75",13.95,50.15,72,99.9,5763,N/A,"",https://www.ebay.com/itm/177665426665?_skw=luka+doncic+prizm&hash=item295daf44e9:g:uxgAAeSwAT5pN6Xw
8.5,GREAT DEAL,"2019-20 Panini Prizm Pink Ice Prizm Luka Doncic Luka Dončić #75 0z5u",20.18,236.1,91,99.6,1300345,N/A,"",https://www.ebay.com/itm/336414985930?_skw=luka+doncic+prizm&hash=item4e53e54eca:g:uTcAAeSwD3Zpfj8S
8.5,GREAT DEAL,"2019-20 Panini Prizm Pink Ice Prizm Luka Doncic Luka Dončić #75 9zm",16.46,236.1,93,99.6,1300345,N/A,"",https://www.ebay.com/itm/236610760710?_skw=luka+doncic+prizm&hash=item371719b006:g:y4QAAeSwq~ppfj-P
8.5,GREAT DEAL,"2020-21 Prizm Luka Doncic #3 Flashback Disco Fast Break Mavericks / Lakers",16,84.96,81,100.0,1194,N/A,"",https://www.ebay.com/itm/167453781946?_skw=luka+doncic+prizm&hash=item26fd05efba:g:LRgAAeSwFJdn~bxX
8.5,GREAT DEAL,"2019-20 Panini Prizm Ruby Wave Prizm Luka Doncic Luka Dončić #75 pe8",28.53,81.17,65,99.6,1300345,N/A,"",https://www.ebay.com/itm/336414981774?_skw=luka+doncic+prizm&hash=item4e53e53e8e:g:y7UAAeSwdyZpfj2F
8.5,GREAT DEAL,"2019-20 Panini Prizm Red White & Blue Prizm Luka Doncic Luka Dončić #75 ou0",12.43,54.4,77,99.6,1300345,N/A,"",https://www.ebay.com/itm/336415000664?_skw=luka+doncic+prizm&hash=item4e53e58858:g:ylwAAeSw--VpfkH-
8.5,GREAT DEAL,"2019-20 Panini Prizm #21 Luka Doncic Far Out!",1.89,72.24,97,100.0,6725,N/A,"",https://www.ebay.com/itm/286979144888?_skw=luka+doncic+prizm&hash=item42d14a3cb8:g:k8oAAeSwCQBpK8Lv
8.5,GREAT DEAL,"2020-21 Panini Prizm #32 Luka Doncic",2,80.74,98,99.9,3393,N/A,"",https://www.ebay.com/itm/157653160680?_skw=luka+doncic+prizm&hash=item24b4dc52e8:g:848AAeSwz0Npf995
8.5,GREAT DEAL,"2019 Prizm Luka Doncic PSA 10 #75 Mavericks",73.99,217.8,66,100.0,10518,N/A,"",https://www.ebay.com/itm/254876743179?_skw=luka+doncic+prizm&hash=item3b57d6760b:g:YfAAAOSw8U5gM-R5
8.5,GREAT DEAL,"2019-20 Hoops Premium Stock #39 Luka Doncic Prizm Shimmer",11.31,42.48,73,100.0,3773,N/A,"",https://www.ebay.com/itm/157489043663?_skw=luka+doncic+prizm&hash=item24ab1418cf:g:V7oAAeSwDExpIS3f
8.5,GREAT DEAL,"2019-20 Panini Prizm - #75 Luka Doncic NM. *2ND YEAR*",3.98,236.1,98,100.0,9638,N/A,"",https://www.ebay.com/itm/257267779114?_skw=luka+doncic+prizm&hash=item3be65ac62a:g:wzEAAeSwm5xpRhu6
8.5,GREAT DEAL,"Luka Doncic 2019-20 Panini Donruss Optic Holo Prizm #16",7.16,37.36,81,100.0,7480,N/A,"",https://www.ebay.com/itm/297372386526?_skw=luka+doncic+prizm&hash=item453cc684de:g:71kAAeSwZkBoPr6d
8.5,GREAT DEAL,"2020-21 Panini Prizm Dominance Luka Doncic #18 Dallas Mavericks Card! A32",1.85,379.13,100,99.8,4411,N/A,"",https://www.ebay.com/itm/117006626950?_skw=luka+doncic+prizm&hash=item1b3e237086:g:wmQAAeSwmJRpeq~w
8.5,GREAT DEAL,"2019-20 Panini Prizm Silver Prizm Luka Doncic Luka Dončić #75 0b06",19.32,50.15,61,99.6,1300345,N/A,"",https://www.ebay.com/itm/336413956513?_skw=luka+doncic+prizm&hash=item4e53d599a1:g:BxMAAeSwLU1pfkHO
8.5,GREAT DEAL,"Luka Doncic 2023-24 Panini Prizm Dominance #2",1.77,50.99,97,100.0,7480,N/A,"",https://www.ebay.com/itm/296779759328?_skw=luka+doncic+prizm&hash=item451973bee0:g:H8cAAOSwEIpnH1xr
8.5,GREAT DEAL,"2019-20 Panini Prizm Luka Doncic #75",7.65,236.1,97,99.9,30842,N/A,"",https://www.ebay.com/itm/115993527555?_skw=luka+doncic+prizm&hash=item1b01c0c503:g:LHQAAOSwATZlZf7~
8.5,GREAT DEAL,"2019-20 Panini Prizm Luka Dončić #75",3.29,217.8,98,99.9,2452,N/A,"",https://www.ebay.com/itm/366138914621?_skw=luka+doncic+prizm&hash=item553f94773d:g:6BcAAeSwYVRpcAaY
8.5,GREAT DEAL,"2020-21 Mosaic Reactive Yellow Prizm Luka Doncic 47 Dallas Mavericks T",7.62,91.79,92,100.0,1448,N/A,"",https://www.ebay.com/itm/187856050914?_skw=luka+doncic+prizm&hash=item2bbd17dae2:g:E8wAAeSwi0ZpRKXD
8.5,GREAT DEAL,"QTY Luka Doncic 2023-24 Panini Prizm #110",2,135.99,99,100.0,7440,N/A,"",https://www.ebay.com/itm/226192456165?_skw=luka+doncic+prizm&hash=item34aa1ef9e5:g:ZWgAAOSwhZhma1HS
8.5,GREAT DEAL,"2019-20 Prizm Luka Doncic Prizms Ruby Wave #75 Mavericks",17.98,81.17,78,99.8,5473,N/A,"",https://www.ebay.com/itm/297772405282?_skw=luka+doncic+prizm&hash=item45549e5222:g:OsUAAeSwBexpHHBE
8.5,GREAT DEAL,"2018-19 Panini Prizm NBA Basketball Retail Pack - Doncic Trae Brunson Rookie? RC",43.99,187,76,100.0,1217,N/A,"",https://www.ebay.com/itm/395916702224?_skw=luka+doncic+prizm&hash=item5c2e797210:g:W3IAAOSw4FtnO9TV
8.5,GREAT DEAL,"2019-20 Panini Prizm #20 Luka Doncic BASKETBALL Dallas Mavericks",3,217.8,99,99.9,21818,N/A,"",https://www.ebay.com/itm/198034918373?_skw=luka+doncic+prizm&hash=item2e1bcd0be5:g:5xYAAeSwboRpa113
8.5,GREAT DEAL,"2023-24 Panini Prizm #110 Luka Doncic",3.25,135.99,98,100.0,3480,N/A,"",https://www.ebay.com/itm/168130042098?_skw=luka+doncic+prizm&hash=item272554d8f2:g:oPsAAeSwOpVpgMSl
8.5,GREAT DEAL,"Luka Doncic 2019-20 Panini Prizm #75 Dallas Mavericks",4.25,236.1,98,100.0,2584,N/A,"",https://www.ebay.com/itm/257161547649?_skw=luka+doncic+prizm&hash=item3be005cf81:g:4bIAAeSwHzxo8rRH
8.5,GREAT DEAL,"2020-21 Panini Prizm Hyper Prizm Luka Doncic #32 00bf",7.55,80.74,91,99.6,1300345,N/A,"",https://www.ebay.com/itm/336395854844?_skw=luka+doncic+prizm&hash=item4e52c163fc:g:2dgAAeSwl29pbbH4
8.5,GREAT DEAL,"2019-20 Panini Prizm #6 Luka Doncic Get Hyped!",1.45,37.36,96,100.0,3233,N/A,"",https://www.ebay.com/itm/236595444048?_skw=luka+doncic+prizm&hash=item37162ff950:g:H~EAAeSwSYlpclHk
8.5,GREAT DEAL,"2023-24 Panini Prizm #110 Luka Doncic",3.25,135.99,98,100.0,3480,N/A,"",https://www.ebay.com/itm/168130044821?_skw=luka+doncic+prizm&hash=item272554e395:g:VjcAAeSwmZNpgMWU
8.5,GREAT DEAL,"2023-24 Panini Prizm Luka Doncic Dallas Mavericks #2",2.4,50.99,95,100.0,2094,N/A,"",https://www.ebay.com/itm/397540495712?_skw=luka+doncic+prizm&hash=item5c8f429160:g:IVEAAeSwPu1peFDl
8.5,GREAT DEAL,"2019-20 Panini Prizm Green Prizm Luka Doncic Luka Dončić #75 0ds5",12.72,56.09,77,99.6,1300345,N/A,"",https://www.ebay.com/itm/336414996767?_skw=luka+doncic+prizm&hash=item4e53e5791f:g:FB4AAeSwkPJpfkEq
8.5,GREAT DEAL,"2019-20 Panini Hoops Premium Stock Prizms Silver Scope #39 Luka Doncic",10,42.48,76,99.7,629761,N/A,"",https://www.ebay.com/itm/168129197460?_skw=luka+doncic+prizm&hash=item272547f594:g:Gs0AAeSwFLVpgJSz
8.5,GREAT DEAL,"2019-20 Panini Prizm - Luka Dončić #75",4.98,217.8,98,99.8,2809,N/A,"",https://www.ebay.com/itm/116999935774?_skw=luka+doncic+prizm&hash=item1b3dbd571e:g:pYAAAeSwxmZpa~c9
8.5,GREAT DEAL,"2019-20 Hoops Premium Stock Basketball Luka Doncic #39 Silver Prizm Parallel",2.99,42.48,93,99.5,1537,N/A,"",https://www.ebay.com/itm/267541625458?_skw=luka+doncic+prizm&hash=item3e4ab93a72:g:Zy4AAeSwKe9pXJOg
8.5,GREAT DEAL,"Luka Doncic 2019-20 Panini Mosaic Green Prizm #44",4.95,42.93,88,100.0,7480,N/A,"",https://www.ebay.com/itm/297848596044?_skw=luka+doncic+prizm&hash=item455928e64c:g:Lo0AAeSwHj1pQRsW
8.5,GREAT DEAL,"2020-21 Panini Prizm Luka Doncic Base NM",1.75,91.79,98,99.8,9445,N/A,"",https://www.ebay.com/itm/227099490459?_skw=luka+doncic+prizm&hash=item34e02f389b:g:IMYAAeSwqh1pI2ys
8.5,GREAT DEAL,"2019-20 Panini Prizm #6 Luka Doncic Get Hyped!",1.45,37.36,96,100.0,3233,N/A,"",https://www.ebay.com/itm/236595444044?_skw=luka+doncic+prizm&hash=item37162ff94c:g:ItsAAeSwLrZpclFr
8.5,GREAT DEAL,"2019 Panini Optic Purple Prizm #16 Luka Doncic",9,64.58,86,100.0,2929,N/A,"",https://www.ebay.com/itm/116725710900?_skw=luka+doncic+prizm&hash=item1b2d650034:g:lvUAAeSwGIxolj-V
8.5,GREAT DEAL,"2022-23 Panini Prizm Monopoly Luka Doncic #PS1 BASKETBALL CARD Dallas Mavericks",2,72.25,97,100.0,17819,N/A,"",https://www.ebay.com/itm/167433545471?_skw=luka+doncic+prizm&hash=item26fbd126ff:g:RcAAAeSwkfln8vux
8.5,GREAT DEAL,"2020-21 Panini Prizm #32 Luka Doncic E1",1.69,80.74,98,100.0,11120,N/A,"",https://www.ebay.com/itm/227101611534?_skw=luka+doncic+prizm&hash=item34e04f960e:g:jm0AAeSwskhpJNrz
8.5,GREAT DEAL,"2019-20 Panini Prizm #22 Luka Doncic Fireworks Dallas Mavericks",3.99,63.1,94,99.9,13795,N/A,"",https://www.ebay.com/itm/317375067526?_skw=luka+doncic+prizm&hash=item49e5073586:g:H3UAAeSwwxJo4s5L
8.5,GREAT DEAL,"2021-22 Panini Prizm LUKA DONCIC #223 Dallas Mavericks Base",1.25,63.74,98,100.0,8439,N/A,"",https://www.ebay.com/itm/404583379567?_skw=luka+doncic+prizm&hash=item5e330c726f:g:dbkAAOSw0JdjSvCS
8.5,GREAT DEAL,"2020-21 Panini Prizm Pink Ice Prizm Luka Doncic #32 7xr",14.73,80.74,82,99.6,1300345,N/A,"",https://www.ebay.com/itm/236605087689?_skw=luka+doncic+prizm&hash=item3716c31fc9:g:fhUAAeSw00hpebYB
8.5,GREAT DEAL,"2021-22 Panini Prizm Luka Doncic Global Reach #4 Dallas Mavericks",1.88,42.5,96,100.0,3712,N/A,"",https://www.ebay.com/itm/134585320385?_skw=luka+doncic+prizm&hash=item1f55e903c1:g:Ld0AAOSwq09kbvqr
