Score,Rating,Title,Price,Median_Comp,Discount_%,Seller_Feedback,Sales_Count,Age_Days,Red_Flags,URL
0,ERROR,"Michael Jordan 1997-98 Topps Finest #39 Bronze Finishers No Coating Bulls HOF",24.99,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/188011752785?_skw=michael+jordan+topps+finest&hash=item2bc65fad51:g:QtIAAeSwE0xpfe5O
0,ERROR,"1993 TOPPS FINEST #1 Michael Jordan",91.25,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/297984696450?_skw=michael+jordan+topps+finest&hash=item456145a082:g:5vcAAeSwUBJpfRy2
0,ERROR,"1994-95 Finest #331 Michael Jordan w/Coating Peel Chicago Bulls NM",130.95,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/168092211082?_skw=michael+jordan+topps+finest&hash=item272313978a:g:tD0AAeSwKWppbD01
0,ERROR,"1993 Topps Finest Michael Jordan #1 Bulls PSA 8",104.98,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/366162768294?_skw=michael+jordan+topps+finest&hash=item55410071a6:g:-tQAAeSwhwxpfP87
0,ERROR,"1995-96 Topps Finest #229 Michael Jordan *NMMT *Chicago Bulls *HOF",75.64,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/236611309455?_skw=michael+jordan+topps+finest&hash=item3717220f8f:g:FKAAAeSwalhpfsQQ
0,ERROR,"1996-97 Topps Finest Basketball Michael Jordan #50 Bronze Sterling PSA 9",120.29,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/376913151820?_skw=michael+jordan+topps+finest&hash=item57c1c6474c:g:pkoAAeSwH35pe8fJ
0,ERROR,"1996 Topps Finest Michael Jordan #50 w/ Coating PSA 9 MINT Chicago Bulls",119.99,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/206037027307?_skw=michael+jordan+topps+finest&hash=item2ff8c389eb:g:J2IAAeSwXVZpfELf
0,ERROR,"Michael Jordan 1997-98 Topps Finest ""Finishers"" w/Coating #39",44.84,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/297953470309?_skw=michael+jordan+topps+finest&hash=item455f692765:g:xQ8AAeSwWRRpcDX3
0,ERROR,"1997 Topps Finest 154 Michael Jordan Gold Masters Rare PSA 9 Chicago Bulls",619.98,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/336379513151?_skw=michael+jordan+topps+finest&hash=item4e51c8093f:g:EZsAAeSwufRpXvSC
0,ERROR,"Michael Jordan 1993 Topps Finest #1 PSA 8 Chicago Bulls",110,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/157636899081?_skw=michael+jordan+topps+finest&hash=item24b3e43109:g:7-4AAeSwpNlpdkzN
