Row,Company Name,Phone,Instagram,Facebook,Source
21,Long Island Power Wash,(516) 894-2994,@premierpowerwashing,,instagram.com/premierpowerwashing
22,Awash Corp,(516) 589-1179,,Awash Corp,facebook.com/Awash-Corp
24,Cleanfellas,(516) 316-1190,@cleanfellasinc,Cleanfellas Pressure Washing,instagram.com/cleanfellasinc
25,Mr Holidays Powerwashing,(516) 581-9336,@mrholidayspowerwashing,Mr Holidays Power Washing,instagram.com/mrholidayspowerwashing
28,South Shore Painting,(516) 299-6011,,South Shore Painting & Plastering Corp,facebook.com/southshorepaintingcorp
29,Precision Painting Plus,(516) 774-3020,,Precision Painting Plus Long Island,facebook.com/precisionpaintingpluslongisl
30,JAT PAINTERS INC,(516) 444-6830,@jat_painters.inc,JAT Painters INC,instagram.com/jat_painters.inc
31,Gama Interior Painting,(888) 971-6033,@gamainteriorpainting,Gama Interior Painting,instagram.com/gamainteriorpainting
34,Tres Handy Brothers,(347) 294-8492,@treshandybrothers,Tres Handy Brothers,instagram.com/treshandybrothers
35,Handyman Express,(516) 924-2400,@handymanexpressli,Handyman Express,instagram.com/handymanexpressli
41,Bella Cleaning Inc,(646) 508-0335,@bellacleaninginc,Bella Cleaning Inc,instagram.com/bellacleaninginc
42,Empire Cleaning & Pro Services,(646) 320-9076,@empirecleaningsvcs3,Empire Cleaning & Pro Services Inc,instagram.com/empirecleaningsvcs3
43,South Shore Cleaning LLC,(516) 996-7186,@southshorecleaningllc,South Shore Cleaning & Maintenance,instagram.com/southshorecleaningllc
